股票名稱,持股(千股),比例,增減,ETF_Id
台積電,"311,352.00",56.12,+0.63%,0050
聯發科,"19,180.00",5.14,-0.10%,0050
鴻海,"154,153.00",4.33,-0.07%,0050
台達電,"27,944.00",1.85,-0.12%,0050
富邦金,"105,173.00",1.76,+0.01%,0050
中信金,"211,500.00",1.65,+0.02%,0050
廣達,"34,429.00",1.63,+0.11%,0050
國泰金,"118,835.00",1.38,-0.04%,0050
聯電,"152,687.00",1.37,+0.04%,0050
中華電,"49,014.00",1.26,+0.02%,0050
兆豐金,"152,128.00",1.14,-0.05%,0050
日月光投控,"41,639.00",1.12,-0.05%,0050
玉山金,"195,806.00",1.10,0.00%,0050
華碩,"9,207.00",1.06,-0.04%,0050
統一,"61,658.00",0.94,-0.04%,0050
元大金,"147,401.00",0.91,-0.05%,0050
智邦,"6,445.00",0.76,+0.03%,0050
聯詠,"7,377.00",0.76,-0.03%,0050
緯創,"35,238.00",0.71,+0.05%,0050
第一金,"136,847.00",0.69,-0.03%,0050
凱基金,"204,555.00",0.67,-0.01%,0050
永豐金,"151,363.00",0.64,-0.03%,0050
瑞昱,"6,153.00",0.64,+0.01%,0050
華南金,"117,543.00",0.63,-0.01%,0050
合庫金,"130,335.00",0.63,+0.01%,0050
中鋼,"146,370.00",0.60,-0.04%,0050
長榮,"13,905.00",0.57,-0.03%,0050
國巨,"6,146.00",0.56,-0.02%,0050
大立光,"1,226.00",0.55,-0.01%,0050
光寶科,"27,812.00",0.53,+0.04%,0050
和泰車,"4,232.00",0.52,+0.02%,0050
台泥,"86,649.00",0.51,-0.03%,0050
緯穎,"1,345.00",0.51,+0.08%,0050
台新金,"150,825.00",0.50,-0.01%,0050
上海商銀,"48,232.00",0.45,+0.03%,0050
中租-KY,"19,358.00",0.44,0.00%,0050
台灣大,"19,085.00",0.43,-0.01%,0050
和碩,"26,809.00",0.43,-0.02%,0050
世芯-KY,996.00,0.42,-0.11%,0050
南亞,"67,497.00",0.41,+0.02%,0050
研華,"5,979.00",0.40,-0.03%,0050
遠傳,"22,925.00",0.39,-0.02%,0050
奇鋐,"4,126.00",0.38,+0.01%,0050
統一超,"6,755.00",0.35,+0.02%,0050
藥華藥,"3,262.00",0.34,+0.01%,0050
台塑,"48,894.00",0.33,-0.02%,0050
陽明,"22,965.00",0.31,-0.02%,0050
欣興,"16,631.00",0.31,+0.01%,0050
萬海,"18,318.00",0.30,+0.02%,0050
台塑化,"17,296.00",0.12,-0.01%,0050
新光金,"4,452.00",2.96,+0.01%,0051
台光電,81.00,2.55,+0.15%,0051
矽力*-KY,88.00,1.99,+0.19%,0051
可成,162.00,1.98,+0.14%,0051
彰銀,"1,882.00",1.93,+0.12%,0051
亞德客-KY,37.00,1.83,+0.17%,0051
技嘉,138.00,1.78,-0.03%,0051
致茂,106.00,1.75,+0.11%,0051
仁寶,"1,090.00",1.68,-0.20%,0051
亞泥,655.00,1.66,0.00%,0051
川湖,17.00,1.64,+0.15%,0051
英業達,690.00,1.58,0.00%,0051
長榮航,724.00,1.57,-0.02%,0051
健策,28.00,1.56,+0.10%,0051
群創,"1,995.00",1.54,-0.09%,0051
旭隼,18.00,1.52,+0.03%,0051
大聯大,397.00,1.51,+0.18%,0051
宏碁,768.00,1.51,+0.03%,0051
京元電子,299.00,1.46,+0.04%,0051
遠東新,783.00,1.45,+0.05%,0051
微星,183.00,1.44,-0.17%,0051
貿聯-KY,47.00,1.42,+0.14%,0051
聯強,355.00,1.42,+0.04%,0051
嘉澤,20.00,1.38,-0.08%,0051
創意,24.00,1.37,+0.02%,0051
正新,493.00,1.37,+0.03%,0051
健鼎,130.00,1.34,-0.03%,0051
群光,154.00,1.34,-0.07%,0051
友達,"1,876.00",1.30,-0.07%,0051
臺企銀,"1,618.00",1.29,+0.01%,0051
台化,898.00,1.26,-0.01%,0051
儒鴻,53.00,1.24,-0.03%,0051
大同,503.00,1.15,+0.04%,0051
台中銀,"1,013.00",1.13,0.00%,0051
大成鋼,475.00,1.12,-0.15%,0051
興富發,478.00,1.10,-0.03%,0051
祥碩,12.00,1.10,0.00%,0051
康霈*,29.00,1.10,-0.15%,0051
寶成,596.00,1.10,-0.04%,0051
力成,177.00,1.08,-0.09%,0051
漢唐,43.00,1.08,+0.01%,0051
文曄,155.00,1.02,+0.20%,0051
鴻準,295.00,0.98,-0.01%,0051
瑞儀,116.00,0.97,-0.16%,0051
上銀,77.00,0.96,-0.05%,0051
臻鼎-KY,171.00,0.94,-0.02%,0051
華通,295.00,0.93,+0.03%,0051
東陽,124.00,0.92,+0.05%,0051
華航,767.00,0.91,-0.03%,0051
聚陽,56.00,0.90,-0.03%,0051
