股票名稱,持股(千股),比例,增減,ETF_Id
台積電,"151,043.00",47.11,-1.83%,0050
聯發科,"9,300.00",4.69,-0.34%,0050
鴻海,"75,115.00",4.41,-0.21%,0050
台達電,"13,599.00",2.16,-0.02%,0050
聯電,"73,289.00",2.04,-0.07%,0050
富邦金,"46,208.00",1.79,-0.02%,0050
長榮,"16,462.00",1.70,N/A,0050
台塑,"30,560.00",1.65,-0.07%,0050
中鋼,"77,559.00",1.61,+0.05%,0050
南亞,"35,540.00",1.55,-0.08%,0050
國泰金,"52,027.00",1.47,-0.11%,0050
中華電,"23,930.00",1.43,-0.04%,0050
中信金,"114,292.00",1.36,-0.07%,0050
日月光投控,"21,461.00",1.26,-0.03%,0050
兆豐金,"68,525.00",1.18,-0.05%,0050
萬海,"6,953.00",1.17,N/A,0050
統一,"30,231.00",1.16,-0.04%,0050
大立光,646.00,1.05,-0.01%,0050
玉山金,"75,437.00",1.04,0.00%,0050
元大金,"73,181.00",1.03,+0.01%,0050
台化,"21,622.00",0.96,-0.04%,0050
聯詠,"3,594.00",0.94,-0.10%,0050
陽明,"9,512.00",0.91,N/A,0050
台泥,"32,917.00",0.88,-0.01%,0050
華碩,"4,416.00",0.86,-0.09%,0050
國巨,"2,887.00",0.84,+0.06%,0050
中租-KY,"7,913.00",0.84,-0.06%,0050
瑞昱,"2,984.00",0.79,-0.02%,0050
廣達,"16,788.00",0.77,-0.04%,0050
矽力-KY,388.00,0.77,+0.01%,0050
第一金,"63,869.00",0.76,0.00%,0050
合庫金,"60,148.00",0.67,-0.02%,0050
友達,"55,588.00",0.66,N/A,0050
和泰車,"2,020.00",0.65,+0.03%,0050
華南金,"59,970.00",0.58,-0.02%,0050
台灣大,"10,286.00",0.55,-0.01%,0050
亞德客-KY,923.00,0.52,+0.02%,0050
台新金,"65,049.00",0.52,0.00%,0050
統一超,"3,554.00",0.49,-0.02%,0050
上海商銀,"20,658.00",0.49,-0.02%,0050
台塑化,"8,598.00",0.48,+0.01%,0050
研華,"2,599.00",0.47,+0.01%,0050
和碩,"12,755.00",0.46,-0.04%,0050
遠東新,"24,442.00",0.41,-0.01%,0050
