日期,標的代號,標的名稱,權重(%),持有數,單位,ETF
20260625,2330,台積電,9.76,11960000,股,00981A
20260625,2327,國巨*,9.64,25098000,股,00981A
20260625,2383,台光電,8.64,4486000,股,00981A
20260625,2454,聯發科,7.42,5037000,股,00981A
20260625,6223,旺矽,5.55,2352000,股,00981A
20260625,2303,聯電,5.28,86550000,股,00981A
20260625,2345,智邦,5.15,6334000,股,00981A
20260625,3037,欣興,5.13,14735000,股,00981A
20260625,3017,奇鋐,4.44,5191000,股,00981A
20260625,2308,台達電,3.80,5614000,股,00981A
20260625,6669,緯穎,3.75,2417000,股,00981A
20260625,2368,金像電,3.52,8315000,股,00981A
20260625,8046,南電,3.18,8917000,股,00981A
20260625,3665,貿聯-KY,3.17,4833848,股,00981A
20260625,3711,日月光投控,3.10,14158000,股,00981A
20260625,6274,台燿,2.94,5058000,股,00981A
20260625,3653,健策,2.62,2267000,股,00981A
20260625,5274,信驊,2.26,379000,股,00981A
20260625,6510,精測,1.09,930000,股,00981A
20260625,6805,富世達,1.08,1811000,股,00981A
20260625,8210,勤誠,0.99,2267000,股,00981A
20260625,6515,穎崴,0.97,313000,股,00981A
20260625,2449,京元電子,0.74,6484000,股,00981A
20260625,3533,嘉澤,0.65,852000,股,00981A
20260625,2317,鴻海,0.64,7307000,股,00981A
20260625,6147,頎邦,0.52,6275000,股,00981A
20260625,6187,萬潤,0.50,1334000,股,00981A
20260625,5439,高技,0.39,3528000,股,00981A
20260625,4966,譜瑞-KY,0.37,1642000,股,00981A
20260625,6278,台表科,0.30,4334000,股,00981A
20260625,6271,同欣電,0.28,2966000,股,00981A
20260625,1590,亞德客-KY,0.25,530000,股,00981A
20260625,8358,金居,0.21,980000,股,00981A
20260625,8996,高力,0.18,354000,股,00981A
20260625,6191,精成科,0.14,3988000,股,00981A
20260625,3264,欣銓,0.12,1508000,股,00981A
20260625,3376,新日興,0.12,1741000,股,00981A
20260625,6488,環球晶,0.12,350000,股,00981A
20260625,2002,中鋼,0.03,5163000,股,00981A
20260625,2439,美律,0.00,18000,股,00981A
20260625,2481,強茂,0.00,5000,股,00981A
20260625,3008,大立光,0.00,1000,股,00981A
20260625,1815,富喬,0.00,107000,股,00981A
20260625,2313,華通,0.00,1000,股,00981A
20260625,2382,廣達,0.00,1000,股,00981A
20260625,3443,創意,0.00,1000,股,00981A
20260625,3661,世芯-KY,0.00,1000,股,00981A
20260625,5347,世界,0.00,1000,股,00981A
20260625,4958,臻鼎-KY,0.00,1000,股,00981A
20260625,8150,南茂,0.00,1000,股,00981A
20260625,C_NTD,CASH,,4343989215,元,00981A
20260625,M_NTD,MARGIN,,500781127,元,00981A
20260625,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-386066841,元,00981A
20260624,2330,台積電,17.78,12900000,股,00403A
20260624,2303,聯電,7.66,74600000,股,00403A
20260624,2327,國巨*,6.08,10050000,股,00403A
20260624,3037,欣興,4.81,8960000,股,00403A
20260624,3017,奇鋐,4.74,3250000,股,00403A
20260624,2344,華邦電,4.59,38800000,股,00403A
20260624,2383,台光電,4.33,1350000,股,00403A
20260624,6223,旺矽,3.89,940000,股,00403A
20260624,2454,聯發科,3.55,1435000,股,00403A
20260624,2368,金像電,3.04,4200000,股,00403A
20260624,2345,智邦,2.88,2100000,股,00403A
20260624,2308,台達電,2.80,2430000,股,00403A
20260624,4958,臻鼎-KY,2.18,6440000,股,00403A
20260624,6669,緯穎,2.10,790000,股,00403A
20260624,3653,健策,1.74,830000,股,00403A
20260624,6274,台燿,1.73,1700000,股,00403A
20260624,3711,日月光投控,1.69,4500000,股,00403A
20260624,2337,旺宏,1.62,16350000,股,00403A
20260624,3533,嘉澤,1.60,1240000,股,00403A
20260624,8996,高力,1.30,1560000,股,00403A
20260624,3443,創意,1.21,430000,股,00403A
20260624,5347,世界,1.14,9911000,股,00403A
20260624,6488,環球晶,1.11,2000000,股,00403A
20260624,6515,穎崴,1.10,200000,股,00403A
20260624,7769,鴻勁,1.09,279000,股,00403A
20260624,6147,頎邦,0.86,6000000,股,00403A
20260624,3189,景碩,0.77,1800000,股,00403A
20260624,8358,金居,0.72,1950000,股,00403A
20260624,3529,力旺,0.71,390000,股,00403A
20260624,1303,南亞,0.68,7550000,股,00403A
20260624,6442,光聖,0.64,570000,股,00403A
20260624,6805,富世達,0.59,570000,股,00403A
20260624,3665,貿聯-KY,0.58,500000,股,00403A
20260624,2360,致茂,0.56,450000,股,00403A
20260624,5274,信驊,0.48,45000,股,00403A
20260624,2317,鴻海,0.47,3200000,股,00403A
20260624,3583,辛耘,0.45,900000,股,00403A
20260624,8046,南電,0.44,795000,股,00403A
20260624,3211,順達,0.38,1560000,股,00403A
20260624,1560,中砂,0.35,800000,股,00403A
20260624,4966,譜瑞-KY,0.34,900000,股,00403A
20260624,6196,帆宣,0.31,1000000,股,00403A
20260624,6415,矽力*-KY,0.31,900000,股,00403A
20260624,3081,聯亞,0.20,160000,股,00403A
20260624,2049,上銀,0.19,1010000,股,00403A
20260624,4979,華星光,0.17,600000,股,00403A
20260624,2455,全新,0.10,450000,股,00403A
20260624,3105,穩懋,0.00,1000,股,00403A
20260624,8210,勤誠,0.00,1000,股,00403A
20260624,8299,群聯,0.00,1000,股,00403A
20260624,C_NTD,CASH,,4523475393,元,00403A
20260624,M_NTD,MARGIN,,0,元,00403A
20260624,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,,-27843602,元,00403A
20260625,2330,台積電,56.90,520372386,股,0050
