股票名稱,持股(千股),比例,增減,ETF_Id
台積電,"234,040.00",57.81,+1.29%,0050
鴻海,"114,005.00",4.82,-0.60%,0050
聯發科,"14,456.00",4.70,+0.32%,0050
台達電,"21,027.00",2.08,+0.15%,0050
廣達,"26,537.00",1.75,-0.11%,0050
富邦金,"79,041.00",1.64,-0.04%,0050
中信金,"159,167.00",1.43,-0.01%,0050
國泰金,"89,208.00",1.40,-0.02%,0050
日月光投控,"31,432.00",1.17,-0.04%,0050
聯電,"114,235.00",1.13,-0.07%,0050
中華電,"37,001.00",1.05,-0.05%,0050
華碩,"7,206.00",1.02,+0.01%,0050
兆豐金,"114,705.00",1.02,-0.08%,0050
玉山金,"146,953.00",0.91,-0.05%,0050
統一,"46,802.00",0.87,-0.08%,0050
智邦,"4,898.00",0.87,+0.05%,0050
元大金,"111,362.00",0.87,-0.10%,0050
第一金,"102,779.00",0.64,-0.07%,0050
聯詠,"5,548.00",0.64,-0.01%,0050
緯創,"26,363.00",0.63,-0.09%,0050
瑞昱,"4,597.00",0.60,+0.07%,0050
凱基金,"151,816.00",0.60,-0.04%,0050
永豐金,"114,028.00",0.60,-0.04%,0050
緯穎,997.00,0.60,+0.21%,0050
大立光,927.00,0.57,-0.01%,0050
國巨,"4,505.00",0.56,0.00%,0050
世芯-KY,743.00,0.56,+0.16%,0050
合庫金,"98,503.00",0.55,-0.09%,0050
華南金,"88,206.00",0.53,-0.10%,0050
長榮,"9,865.00",0.51,-0.01%,0050
中鋼,"110,739.00",0.50,-0.06%,0050
台泥,"64,526.00",0.47,-0.05%,0050
台新金,"115,054.00",0.46,-0.03%,0050
和碩,"21,784.00",0.46,-0.03%,0050
和泰車,"3,164.00",0.45,-0.02%,0050
光寶科,"19,245.00",0.44,-0.05%,0050
奇鋐,"3,074.00",0.44,+0.01%,0050
欣興,"12,655.00",0.41,-0.04%,0050
台灣大,"14,571.00",0.38,-0.01%,0050
研華,"4,396.00",0.35,-0.01%,0050
遠傳,"17,038.00",0.35,-0.02%,0050
藥華藥,"2,477.00",0.35,0.00%,0050
南亞,"49,488.00",0.34,-0.13%,0050
上海商銀,"36,267.00",0.33,-0.01%,0050
統一超,"5,130.00",0.31,-0.05%,0050
台塑,"35,552.00",0.29,-0.07%,0050
陽明,"16,672.00",0.29,N/A,0050
中租-KY,"9,243.00",0.24,-0.03%,0050
台化,"33,477.00",0.21,-0.06%,0050
台塑化,"12,596.00",0.10,-0.03%,0050
新光金,"4,013.00",2.56,-0.01%,0051
台光電,75.00,2.51,+0.57%,0051
致茂,97.00,2.14,-0.09%,0051
健策,25.00,2.10,+0.17%,0051
仁寶,"1,002.00",2.04,-0.01%,0051
嘉澤,18.00,1.90,+0.14%,0051
技嘉,128.00,1.88,+0.06%,0051
矽力*-KY,81.00,1.77,-0.12%,0051
英業達,631.00,1.71,-0.01%,0051
微星,168.00,1.67,+0.07%,0051
彰銀,"1,731.00",1.67,-0.02%,0051
京元電子,274.00,1.65,-0.27%,0051
創意,22.00,1.61,+0.19%,0051
長榮航,663.00,1.59,+0.05%,0051
旭隼,16.00,1.57,-0.10%,0051
可成,149.00,1.56,-0.07%,0051
宏,706.00,1.52,+0.04%,0051
萬海,347.00,1.52,-0.08%,0051
亞德客-KY,33.00,1.51,N/A,0051
群創,"1,830.00",1.42,-0.12%,0051
友達,"1,730.00",1.37,-0.13%,0051
貿聯-KY,41.00,1.37,-0.06%,0051
儒鴻,49.00,1.35,-0.10%,0051
大聯大,365.00,1.35,-0.07%,0051
大同,517.00,1.34,-0.01%,0051
亞泥,609.00,1.33,-0.08%,0051
川湖,15.00,1.29,+0.07%,0051
健鼎,121.00,1.29,+0.04%,0051
聯強,334.00,1.28,-0.12%,0051
上銀,70.00,1.25,+0.33%,0051
遠東新,720.00,1.23,-0.11%,0051
正新,453.00,1.20,-0.07%,0051
臺企銀,"1,495.00",1.20,-0.03%,0051
群光,145.00,1.19,-0.07%,0051
瑞儀,109.00,1.16,+0.03%,0051
祥碩,11.00,1.15,+0.20%,0051
力成,167.00,1.10,-0.01%,0051
鴻準,271.00,1.09,-0.12%,0051
寶成,546.00,1.09,-0.15%,0051
漢唐,40.00,1.04,N/A,0051
華通,269.00,1.02,+0.10%,0051
臻鼎-KY,156.00,1.01,+0.03%,0051
金像電,75.00,0.98,+0.20%,0051
華航,707.00,0.98,0.00%,0051
興富發,409.00,0.96,-0.03%,0051
華城,31.00,0.95,-0.02%,0051
台中銀,927.00,0.94,-0.03%,0051
中興電,109.00,0.91,-0.04%,0051
聚陽,52.00,0.90,-0.02%,0051
康霈*,27.00,0.90,N/A,0051
