股票名稱,持股(千股),比例,增減,ETF_Id
台積電,"222,988.00",56.63,+1.16%,0050
鴻海,"108,920.00",5.68,+0.44%,0050
聯發科,"13,708.00",4.36,+0.17%,0050
台達電,"19,978.00",1.99,+0.02%,0050
廣達,"25,123.00",1.88,+0.18%,0050
富邦金,"75,040.00",1.68,-0.08%,0050
國泰金,"84,765.00",1.44,-0.03%,0050
中信金,"151,385.00",1.34,-0.01%,0050
聯電,"108,659.00",1.29,-0.23%,0050
日月光投控,"31,516.00",1.22,-0.01%,0050
中華電,"35,238.00",1.06,-0.08%,0050
兆豐金,"108,360.00",1.05,-0.06%,0050
統一,"44,310.00",0.98,-0.02%,0050
華碩,"6,771.00",0.96,-0.01%,0050
玉山金,"140,619.00",0.95,-0.07%,0050
元大金,"114,986.00",0.92,-0.02%,0050
緯創,"25,211.00",0.69,+0.03%,0050
第一金,"101,581.00",0.68,-0.05%,0050
智邦,"4,923.00",0.67,-0.01%,0050
聯詠,"5,241.00",0.65,-0.06%,0050
合庫金,"101,394.00",0.63,-0.05%,0050
永豐金,"109,329.00",0.62,-0.07%,0050
凱基金,"145,281.00",0.60,-0.02%,0050
華南金,"94,023.00",0.59,-0.04%,0050
國巨,"4,288.00",0.59,-0.10%,0050
中鋼,"104,548.00",0.58,-0.05%,0050
大立光,941.00,0.53,-0.09%,0050
瑞昱,"4,408.00",0.52,-0.02%,0050
和碩,"20,484.00",0.50,-0.06%,0050
南亞,"47,658.00",0.49,-0.08%,0050
和泰車,"3,000.00",0.48,-0.07%,0050
台泥,"60,931.00",0.48,-0.06%,0050
台新金,"113,846.00",0.48,-0.06%,0050
欣興,"12,054.00",0.48,+0.03%,0050
長榮,"9,276.00",0.47,-0.02%,0050
光寶科,"18,201.00",0.46,-0.02%,0050
中租-KY,"11,779.00",0.44,-0.02%,0050
奇鋐,"2,606.00",0.41,+0.01%,0050
台塑,"34,298.00",0.40,-0.08%,0050
統一超,"5,224.00",0.38,-0.02%,0050
台灣大,"13,579.00",0.38,-0.03%,0050
緯穎,809.00,0.38,+0.02%,0050
藥華藥,"2,378.00",0.37,-0.02%,0050
遠傳,"16,405.00",0.36,-0.02%,0050
世芯-KY,696.00,0.35,-0.01%,0050
上海商銀,"34,431.00",0.34,-0.01%,0050
研華,"4,182.00",0.33,-0.02%,0050
台化,"31,440.00",0.30,-0.06%,0050
亞德客-KY,"1,270.00",0.28,-0.02%,0050
台塑化,"12,648.00",0.15,-0.02%,0050
新光金,"3,937.00",2.49,-0.11%,0051
矽力*-KY,80.00,2.25,+0.20%,0051
致茂,95.00,2.21,+0.25%,0051
健策,25.00,2.04,+0.28%,0051
仁寶,981.00,1.96,+0.16%,0051
可成,146.00,1.92,+0.03%,0051
京元電子,269.00,1.88,+0.22%,0051
旭隼,16.00,1.84,+0.12%,0051
技嘉,119.00,1.73,+0.05%,0051
台光電,73.00,1.71,-0.08%,0051
彰銀,"1,703.00",1.68,+0.02%,0051
微星,167.00,1.66,+0.06%,0051
嘉澤,18.00,1.66,+0.31%,0051
