公司代號,公司名稱,公司簡稱,產業別,實收資本額,Type,上市公司產業類別,上櫃公司產業類別,新編碼
1101,臺灣水泥股份有限公司,台泥,01,77511817420,上市,水泥工業,--,01
1102,亞洲水泥股份有限公司,亞泥,01,35465628810,上市,水泥工業,--,01
1103,嘉新水泥股份有限公司,嘉泥,01,7902474590,上市,水泥工業,--,01
1104,環球水泥股份有限公司,環泥,01,6866818160,上市,水泥工業,--,01
1108,幸福水泥股份有限公司,幸福,01,4047380490,上市,水泥工業,--,01
1109,信大水泥股份有限公司,信大,01,3411588680,上市,水泥工業,--,01
1110,東南水泥股份有限公司,東泥,01,5720007970,上市,水泥工業,--,01
1201,味全食品工業股份有限公司,味全,02,5060629140,上市,食品工業,食品工業,02
1203,味王股份有限公司,味王,02,2400000000,上市,食品工業,食品工業,02
1210,大成長城企業股份有限公司,大成,02,8947672220,上市,食品工業,食品工業,02
1213,大西洋飲料股份有限公司,大飲,02,566226270,上市,食品工業,食品工業,02
1215,台灣卜蜂企業股份有限公司,卜蜂,02,2947900980,上市,食品工業,食品工業,02
1216,統一企業股份有限公司,統一,02,56820154210,上市,食品工業,食品工業,02
1217,愛之味股份有限公司,愛之味,02,4945133360,上市,食品工業,食品工業,02
1218,泰山企業股份有限公司,泰山,02,4999990380,上市,食品工業,食品工業,02
1219,福壽實業股份有限公司,福壽,02,3416023640,上市,食品工業,食品工業,02
1220,台榮產業股份有限公司,台榮,02,1770779440,上市,食品工業,食品工業,02
1225,福懋油脂股份有限公司,福懋油,02,2296382040,上市,食品工業,食品工業,02
1227,佳格食品股份有限公司,佳格,02,9150895910,上市,食品工業,食品工業,02
1229,聯華實業控股股份有限公司,聯華,02,17104387320,上市,食品工業,食品工業,02
1231,聯華食品工業股份有限公司,聯華食,02,2713222500,上市,食品工業,食品工業,02
1232,大統益股份有限公司,大統益,02,1599749150,上市,食品工業,食品工業,02
1233,天仁茶業股份有限公司,天仁,02,905919480,上市,食品工業,食品工業,02
1234,黑松股份有限公司,黑松,02,4018710940,上市,食品工業,食品工業,02
1235,興泰實業股份有限公司,興泰,02,1571481970,上市,食品工業,食品工業,02
1236,宏亞食品股份有限公司,宏亞,02,866740080,上市,食品工業,食品工業,02
1256,鮮活控股股份有限公司,鮮活果汁-KY,02,20100112,上市,食品工業,食品工業,02
1301,台灣塑膠工業股份有限公司,台塑,03,63657407810,上市,塑膠工業,塑膠工業,03
1303,南亞塑膠工業股份有限公司,南亞,03,79308215890,上市,塑膠工業,塑膠工業,03
1304,台灣聚合化學品股份有限公司,台聚,03,11887635000,上市,塑膠工業,塑膠工業,03
1305,華夏海灣塑膠股份有限公司,華夏,03,5810504940,上市,塑膠工業,塑膠工業,03
1307,三芳化學工業股份有限公司,三芳,03,3978181260,上市,塑膠工業,塑膠工業,03
1308,亞洲聚合股份有限公司,亞聚,03,5937439190,上市,塑膠工業,塑膠工業,03
1309,台達化學工業股份有限公司,台達化,03,3975868480,上市,塑膠工業,塑膠工業,03
1310,台灣苯乙烯工業股份有限公司,台苯,03,5278697640,上市,塑膠工業,塑膠工業,03
1312,國喬石油化學股份有限公司,國喬,03,11266203280,上市,塑膠工業,塑膠工業,03
1313,聯成化學科技股份有限公司,聯成,03,13683546070,上市,塑膠工業,塑膠工業,03
1314,中國石油化學工業開發(股)公司,中石化,03,37848501300,上市,塑膠工業,塑膠工業,03
1315,達新工業股份有限公司,達新,03,990990000,上市,塑膠工業,塑膠工業,03
1316,上曜建設開發股份有限公司,上曜,14,3660160190,上市,建材營造,建材營造,14
1319,東陽實業廠股份有限公司,東陽,12,5914770680,上市,汽車工業,--,12
1321,大洋塑膠工業股份有限公司,大洋,03,新台幣                 10.0000元,上市,塑膠工業,塑膠工業,03
1323,永裕塑膠工業股份有限公司,永裕,03,912745540,上市,塑膠工業,塑膠工業,03
1324,地球綜合工業股份有限公司,地球,03,751218820,上市,塑膠工業,塑膠工業,03
1325,大股份有限公司,恆大,03,852811980,上市,塑膠工業,塑膠工業,03
1326,台灣化學纖維股份有限公司,台化,03,58611862910,上市,塑膠工業,塑膠工業,03
1337,亞洲塑膠再生資源控股有限公司,再生-KY,03,2689547290,上市,塑膠工業,塑膠工業,03
1338,廣華控股有限公司,廣華-KY,12,838400000,上市,汽車工業,--,12
1339,昭輝實業股份有限公司,昭輝,12,741238750,上市,汽車工業,--,12
1340,勝悅新材料有限公司,勝悅-KY,03,1529228550,上市,塑膠工業,塑膠工業,03
1341,富林塑膠工業(開曼)控股(股)公司,富林-KY,03,528506340,上市,塑膠工業,塑膠工業,03
1342,八貫企業股份有限公司,八貫,20,786152590,上市,其他,其他,20
1402,遠東新世紀股份有限公司,遠東新,04,新台幣                 10.0000元,上市,紡織纖維,紡織纖維,04
1409,新光合成纖維股份有限公司,新纖,04,16184092860,上市,紡織纖維,紡織纖維,04
1410,南洋染整股份有限公司,南染,04,630000000,上市,紡織纖維,紡織纖維,04
1413,宏洲纖維工業股份有限公司,宏洲,04,1321124540,上市,紡織纖維,紡織纖維,04
1414,東和紡織股份有限公司,東和,04,2200000000,上市,紡織纖維,紡織纖維,04
1416,廣豐實業股份有限公司,廣豐,20,1853421680,上市,其他,其他,20
1417,嘉裕股份有限公司,嘉裕,04,1899418400,上市,紡織纖維,紡織纖維,04
1418,東華龍股份有限公司,東華,04,568343090,上市,紡織纖維,紡織纖維,04
1419,新光紡織股份有限公司,新紡,04,3000412800,上市,紡織纖維,紡織纖維,04
1423,利華羊毛工業股份有限公司,利華,04,996480000,上市,紡織纖維,紡織纖維,04
1432,大魯閣實業股份有限公司,大魯閣,37,1080000000,上市,運動休閒,運動休閒,37
1434,福懋興業股份有限公司,福懋,04,16846646370,上市,紡織纖維,紡織纖維,04
1435,中福國際(股)公司,中福,20,1397800800,上市,其他,其他,20
1436,華友聯開發股份有限公司,華友聯,14,1319793490,上市,建材營造,建材營造,14
1437,勤益投資控股股份有限公司,勤益控,20,2033712840,上市,其他,其他,20
1438,三地開發地產股份有限公司,三地開發,14,1112057590,上市,建材營造,建材營造,14
1439,雋揚國際股份有限公司,雋揚,14,920000000,上市,建材營造,建材營造,14
1440,臺南紡織股份有限公司,南紡,04,16568158570,上市,紡織纖維,紡織纖維,04
1441,大東紡織股份有限公司,大東,04,717443870,上市,紡織纖維,紡織纖維,04
1442,名軒開發股份有限公司,名軒,14,新台幣                 10.0000元,上市,建材營造,建材營造,14
1443,立益物流開發股份有限公司,立益物流,20,1353430110,上市,其他,其他,20
1444,力麗企業股份有限公司,力麗,04,9955950590,上市,紡織纖維,紡織纖維,04
1445,大宇紡織股份有限公司,大宇,04,1306660340,上市,紡織纖維,紡織纖維,04
1446,宏和精密紡織股份有限公司,宏和,04,1377095130,上市,紡織纖維,紡織纖維,04
1447,力鵬企業股份有限公司,力鵬,04,9100712420,上市,紡織纖維,紡織纖維,04
1449,佳和實業股份有限公司,佳和,04,1030939100,上市,紡織纖維,紡織纖維,04
1451,年興紡織股份有限公司,年興,04,1980000000,上市,紡織纖維,紡織纖維,04
1452,宏益纖維工業股份有限公司,宏益,04,1326414000,上市,紡織纖維,紡織纖維,04
1453,大將開發股份有限公司,大將,14,1099447060,上市,建材營造,建材營造,14
1454,台灣富綢纖維股份有限公司,台富,04,1298338480,上市,紡織纖維,紡織纖維,04
1455,集盛實業股份有限公司,集盛,04,5316883800,上市,紡織纖維,紡織纖維,04
1456,怡華實業股份有限公司,怡華,14,937200000,上市,建材營造,建材營造,14
1457,宜進實業股份有限公司,宜進,04,3167300220,上市,紡織纖維,紡織纖維,04
1459,聯發紡織纖維股份有限公司,聯發,04,3586289070,上市,紡織纖維,紡織纖維,04
1460,宏遠興業股份有限公司,宏遠,04,6946434840,上市,紡織纖維,紡織纖維,04
1463,強盛新股份有限公司,強盛新,04,1732683810,上市,紡織纖維,紡織纖維,04
1464,得力實業股份有限公司,得力,04,4076395910,上市,紡織纖維,紡織纖維,04
1465,偉全實業股份有限公司,偉全,04,1036072670,上市,紡織纖維,紡織纖維,04
1466,聚隆纖維股份有限公司,聚隆,04,1111573200,上市,紡織纖維,紡織纖維,04
1467,南緯實業股份有限公司,南緯,04,2336246670,上市,紡織纖維,紡織纖維,04
1468,昶和纖維興業股份有限公司,昶和,04,1604052440,上市,紡織纖維,紡織纖維,04
1470,大統新創股份有限公司,大統新創,04,857670000,上市,紡織纖維,紡織纖維,04
1471,首利實業股份有限公司,首利,28,1504145360,上市,電子零組件業,電子零組件業,28
1472,三洋實業股份有限公司,三洋實業,14,524880820,上市,建材營造,建材營造,14
1473,台南企業股份有限公司,台南,04,1461535340,上市,紡織纖維,紡織纖維,04
1474,弘裕企業股份有限公司,弘裕,04,1298969690,上市,紡織纖維,紡織纖維,04
1475,台灣業旺股份有限公司,業旺,04,660167490,上市,紡織纖維,紡織纖維,04
1476,儒鴻企業股份有限公司,儒鴻,04,2743671110,上市,紡織纖維,紡織纖維,04
1477,聚陽實業股份有限公司,聚陽,04,2466937130,上市,紡織纖維,紡織纖維,04
1503,士林電機廠股份有限公司,士電,05,5209722230,上市,電機機械,電機機械,05
1504,東元電機股份有限公司,東元,05,21387966160,上市,電機機械,電機機械,05
1506,正道工業股份有限公司,正道,05,3003885010,上市,電機機械,電機機械,05
1512,瑞利企業股份有限公司,瑞利,12,981834980,上市,汽車工業,--,12
1513,中興電工機械股份有限公司,中興電,05,5031125150,上市,電機機械,電機機械,05
1514,亞力電機股份有限公司,亞力,05,2677549860,上市,電機機械,電機機械,05
1515,力山工業股份有限公司,力山,05,1814735000,上市,電機機械,電機機械,05
1516,川飛能源股份有限公司,川飛,20,400081950,上市,其他,其他,20
1517,利奇機械工業股份有限公司,利奇,05,2233000070,上市,電機機械,電機機械,05
1519,華城電機股份有限公司,華城,05,2871644030,上市,電機機械,電機機械,05
1521,大億交通工業製造股份有限公司,大億,12,762300000,上市,汽車工業,--,12
1522,堤維西交通工業股份有限公司,堤維西,12,3428978810,上市,汽車工業,--,12
1524,耿鼎企業股份有限公司,耿鼎,12,1653103970,上市,汽車工業,--,12
