出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150514","11504","1240","茂生農經","農業科技","236451","268329","211888","-11.88019185402994","11.592445065317527","926403","895544","3.445838507097362","-"
"1150514","11504","1259","安心","觀光餐旅","488504","517804","479095","-5.658511714857359","1.9639111240985607","2010864","1948747","3.1875353752949973","-"
"1150514","11504","1264","德麥","食品工業","630343","562663","567719","12.028514403826092","11.030809255987558","2365572","2216558","6.722765657384106","-"
"1150514","11504","1268","漢來美食","觀光餐旅","514778","583961","410440","-11.847195275026928","25.421011597310205","2503105","2145899","16.64598380445678","-"
"1150514","11504","1294","漢田生技","食品工業","76653","76113","72323","0.7094714437743881","5.987030405265268","304704","247000","23.36194331983806","-"
"1150514","11504","1295","生合","食品工業","104392","79388","116307","31.495943971381067","-10.244439285683578","318936","350031","-8.883498890098306","-"
"1150514","11504","1336","台翰","電子零組件業","203814","214212","223736","-4.854069800011204","-8.904244287910752","762450","846308","-9.908685726709425","-"
"1150514","11504","1565","精華","生技醫療業","303813","305118","364384","-0.42770338033154387","-16.622848423640995","1203356","1475364","-18.436670543676","-"
"1150514","11504","1569","濱川","電腦及週邊設備業","266771","373329","299047","-28.542652727219156","-10.792952278404398","1072791","1117552","-4.005272237891391","-"
"1150514","11504","1570","力肯","電機機械","55523","52171","47301","6.425025397251346","17.38229635737088","174935","168373","3.8972994482488286","-"
"1150514","11504","1580","新麥","電機機械","417464","351484","464524","18.77183598684435","-10.130800561434931","1511896","1553563","-2.682028343877912","-"
"1150514","11504","1584","精剛","其他","194181","148942","231924","30.373568234614815","-16.273865576654423","707217","907927","-22.106402827540098","-"
"1150514","11504","1586","和勤","電機機械","206362","184217","216182","12.021148971050446","-4.542468845694831","754339","758471","-0.5447802223156851","-"
"1150514","11504","1591","駿吉-KY","電機機械","47510","50028","7780","-5.033181418405693","510.66838046272494","179870","21318","743.7470682052725","本期銷售數量增加所致"
"1150514","11504","1593","祺驊","運動休閒","122182","102625","103120","19.05676004872107","18.485259891388672","426481","379456","12.392741187384045","-"
"1150514","11504","1595","川寶","電子零組件業","57634","66552","75921","-13.400048082702249","-24.086879782932257","224023","284573","-21.277492945571083","-"
"1150514","11504","1599","宏佳騰","電機機械","158205","246130","146488","-35.72299191484175","7.998607394462345","795842","642453","23.875520855222096","-"
"1150514","11504","1742","台蠟","化學工業","8624","7279","12200","18.477812886385493","-29.311475409836067","26257","53050","-50.50518378887842","本月累計營收較去年同期減少，係因蠟品及水產較去年同期減少"
"1150514","11504","1777","生泰","生技醫療業","101291","87311","109530","16.011728190033327","-7.522140052953529","376863","425280","-11.384734762979685","-"
"1150514","11504","1781","合世","生技醫療業","22159","27473","22898","-19.34262730681032","-3.227356100969517","119128","144986","-17.834825431420963","-"
"1150514","11504","1784","訊聯","生技醫療業","116501","127172","102632","-8.39099801843173","13.513329176085431","431198","393432","9.59911750950609","-"
"1150514","11504","1785","光洋科","其他電子業","5595664","5956286","3753435","-6.05447757209778","49.081148334792","20153556","11996277","67.99842151027356","主係業績增長所致，其中貴金屬及VAS營收皆成長。"
"1150514","11504","1788","杏昌","生技醫療業","369637","391987","360414","-5.701719699888007","2.5590015926129395","1514822","1410907","7.365120450887266","-"
"1150514","11504","1796","金穎生技","食品工業","51412","52751","58855","-2.5383405053932626","-12.64633421119701","204610","225282","-9.176054900080787","-"
"1150514","11504","1799","易威","生技醫療業","88536","100120","26006","-11.57011586096684","240.44451280473737","325231","177549","83.17816490095692","因新藥/學名藥產品出貨較去年同期多，故營收成長。"
"1150514","11504","1813","寶利徠","生技醫療業","26637","26742","26715","-0.3926407897689029","-0.291970802919708","100456","110454","-9.051731942709182","-"
"1150514","11504","1815","富喬","電子零組件業","733783","681209","479087","7.71774888470352","53.16278671723507","2615222","1861676","40.47675320517641","主要受高階薄布需求大幅增加。"
"1150514","11504","2035","唐榮公司","鋼鐵工業","1127727","911850","1156808","23.67461753577891","-2.513900318808307","3601505","3684553","-2.253950479203312","-"
"1150514","11504","2061","風青","電器電纜","118293","111717","111106","5.886301995220065","6.468597555487553","435027","407354","6.793354183339307","-"
"1150514","11504","2063","世鎧精密","鋼鐵工業","86860","87062","76186","-0.23201856148491878","14.010448113826687","307055","333621","-7.962927993141919","-"
"1150514","11504","2064","晉椿","鋼鐵工業","161944","172401","129828","-6.065510060846515","24.737344794651385","609081","511975","18.9669417452024","-"
"1150514","11504","2065","世豐","鋼鐵工業","186175","186138","176985","0.019877725128667978","5.192530440432805","731735","749447","-2.3633425712558727","-"
"1150514","11504","2066","世德","電機機械","231736","254162","213358","-8.823506267656063","8.613691541915466","962314","920877","4.499732320385893","-"
"1150514","11504","2067","嘉鋼","電機機械","77022","87921","99984","-12.396355819428805","-22.965674507921268","307054","338419","-9.268096649419801","-"
"1150514","11504","2070","精湛","電機機械","69750","75686","44877","-7.84293000026425","55.424827862825055","227828","189886","19.981462561747573","去年下半年及今年初訂單出貨"
"1150514","11504","2073","雄順","鋼鐵工業","66336","47670","48789","39.156702328508494","35.9650740945705","182384","198521","-8.128611078928678","-"
"1150514","11504","2221","大甲","其他","140432","131210","119963","7.028427711302492","17.062761017980545","512651","444280","15.389168992527235","-"
"1150514","11504","2230","泰茂","電機機械","181225","222286","101887","-18.4721484933824","77.86861915651653","912754","551446","65.520105323096","係因酒水事業收入增加"
"1150514","11504","2235","謚源","電機機械","54143","50651","51100","6.894237033819668","5.954990215264188","197929","196904","0.520558241579653","-"
"1150514","11504","2596","綠意","建材營造","94157","87740","318792","7.313653977661272","-70.46444076388366","225118","673399","-66.56989392618641","本公司「綠意領航1號」建案完工、陸續交屋中，本年單月及累計營業收入淨額較去年同期減少，主要係受建案工期分布影響。"
"1150514","11504","2640","大車隊","數位雲端","277597","269605","253179","2.964336714823538","9.644559777864673","1092109","1025866","6.457276096488235","-"
"1150514","11504","2641","正德","航運業","197955","205976","185278","-3.8941430069522665","6.842150714062112","804484","690840","16.450118696080136","-"
"1150514","11504","2643","捷迅","航運業","609568","442443","739208","37.77322728577467","-17.537688986049936","2065726","2674393","-22.75907093684436","-"
"1150514","11504","2718","全心投控","建材營造","35779","32010","574735","11.774445485785693","-93.77469616431921","184154","600860","-69.35159604566788","配合銷售個案交屋認列收入"
"1150514","11504","2719","燦星旅","觀光餐旅","122318","149932","171756","-18.41768268281621","-28.783856168052353","644837","781608","-17.498669409729686","-"
"1150514","11504","2724","藝舍-KY","其他","31603","10949","21813","188.63823180199105","44.881492687846695","63644","62047","2.573855303237868","-"
"1150514","11504","2726","雅茗-KY","觀光餐旅","36301","55688","54231","-34.813604367188624","-33.0622706570043","170154","200524","-15.145319263529553","-"
"1150514","11504","2729","瓦城","觀光餐旅","497222","453095","437403","9.739017203897637","13.675946438410344","2150451","2034329","5.708122924069804","-"
"1150514","11504","2732","六角","觀光餐旅","432849","458632","327538","-5.6217185019798","32.15229988581478","1772513","1260964","40.56808917621756","-"
"1150514","11504","2734","易飛網","觀光餐旅","148873","167864","124182","-11.313325072677882","19.882913787827544","705537","527350","33.789134351000286","-"
